"name","n_museum","n_theatre","n_nightlife"
"Kingston upon Thames",1,1,46
"Croydon",1,2,94
"Bromley",4,6,82
"Hounslow",6,1,77
"Ealing",3,2,68
"Havering",4,2,45
"Hillingdon",3,4,60
"Harrow",4,3,32
"Brent",1,2,58
"Barnet",4,2,50
"Lambeth",11,19,173
"Southwark",13,13,211
"Lewisham",2,4,84
"Greenwich",14,4,71
"Bexley",1,3,65
"Enfield",4,3,47
"Waltham Forest",3,1,61
"Redbridge",2,1,26
"Sutton",3,1,37
"Richmond upon Thames",3,8,71
"Merton",4,5,40
"Wandsworth",0,5,135
"Hammersmith and Fulham",4,7,104
"Kensington and Chelsea",15,9,101
"Westminster",26,59,431
"Camden",29,25,247
"Tower Hamlets",12,5,147
"Islington",9,10,227
"Hackney",4,9,181
"Haringey",3,3,63
"Newham",1,1,58
"Barking and Dagenham",3,2,18
"City of London",10,5,210
