"name","ethnicity_perc_arab","ethnicity_perc_asian","ethnicity_perc_black","ethnicity_perc_mixed","ethnicity_perc_white","ethnicity_perc_other"
"Barking and Dagenham",1,15,18,4,61,1
"Barnet",1,18,9,5,64,3
"Bexley",0,7,8,2,82,1
"Brent",4,32,19,5,38,2
"Bromley",0,5,7,4,83,1
"Camden",1,15,9,5,69,2
"City of London",1,12,5,3,79,1
"Croydon",0,16,19,7,57,1
"Ealing",3,30,12,5,48,3
"Enfield",1,11,16,6,62,4
"Greenwich",0,11,18,5,63,1
"Hackney",1,12,22,6,54,5
"Hammersmith and Fulham",3,12,12,5,66,2
"Haringey",1,11,21,7,57,4
"Harrow",2,38,9,4,46,1
"Havering",0,6,5,2,86,1
"Hillingdon",1,24,7,4,63,2
"Hounslow",1,29,7,4,56,2
"Islington",1,11,13,5,67,2
"Kensington and Chelsea",3,12,8,5,68,3
"Kingston upon Thames",1,16,3,4,74,1
"Lambeth",1,9,27,7,54,2
"Lewisham",1,10,27,8,53,2
"Merton",1,17,10,5,65,1
"Newham",1,39,19,5,34,2
"Redbridge",1,38,9,4,45,2
"Richmond upon Thames",1,9,3,4,83,1
"Southwark",1,10,23,6,58,2
"Sutton",0,11,6,4,78,1
"Tower Hamlets",1,32,8,3,54,1
"Waltham Forest",2,22,17,6,51,3
"Wandsworth",1,13,14,6,65,1
"Westminster",3,13,8,4,71,2
